MJD,Temperature [mdC]
57933.89117,44210
57933.89118,44207
57933.89119,44207
57933.89121,44210
57933.89122,44210
57933.89123,44210
57933.89124,44210
57933.89125,44210
57933.89126,44210
57933.89128,44210
57933.89129,44210
57933.8913,44214
57933.89131,44214
57933.89132,44214
57933.89133,44214
57933.89134,44214
57933.89136,44214
57933.89137,44214
57933.89138,44210
57933.89139,44214
57933.8914,44214
57933.89141,44214
57933.89143,44214
57933.89144,44210
57933.89145,44210
57933.89146,44214
57933.89147,44210
57933.89148,44210
57933.8915,44210
57933.89151,44214
57933.89152,44210
57933.89153,44210
57933.89154,44210
57933.89155,44210
57933.89156,44210
57933.89158,44210
57933.89159,44210
57933.8916,44207
57933.89161,44210
57933.89162,44210
57933.89163,44207
57933.89165,44207
57933.89166,44207
57933.89167,44207
57933.89168,44207
57933.89169,44207
57933.8917,44207
57933.89172,44207
57933.89173,44207
57933.89174,44207
57933.89175,44207
57933.89176,44207
57933.89177,44207
57933.89178,44207
57933.8918,44203
57933.89181,44207
57933.89182,44207
57933.89183,44207
57933.89184,44207
57933.89185,44207
57933.89187,44207
57933.89188,44207
57933.89189,44207
57933.8919,44207
57933.89191,44207
57933.89192,44207
57933.89194,44207
57933.89195,44207
57933.89196,44207
57933.89197,44207
57933.89198,44207
57933.89199,44207
57933.892,44207
57933.89202,44207
57933.89203,44203
57933.89204,44203
57933.89205,44203
57933.89206,44203
57933.89207,44203
57933.89209,44203
57933.8921,44203
57933.89211,44203
57933.89212,44203
57933.89213,44203
57933.89214,44203
57933.89216,44207
57933.89217,44203
57933.89218,44203
57933.89219,44203
57933.8922,44203
57933.89221,44203
57933.89222,44203
57933.89224,44203
57933.89225,44199
57933.89226,44199
57933.89227,44199
57933.89228,44199
57933.89229,44199
57933.89231,44199
57933.89232,44199
57933.89233,44199
57933.89234,44199
57933.89235,44199
57933.89236,44199
57933.89237,44195
57933.89239,44199
57933.8924,44195
57933.89241,44195
57933.89242,44199
57933.89243,44199
57933.89244,44199
57933.89246,44195
57933.89247,44199
57933.89248,44199
57933.89249,44199
57933.8925,44199
57933.89251,44199
57933.89253,44199
57933.89254,44199
57933.89255,44199
57933.89256,44199
57933.89257,44199
57933.89258,44199
57933.89259,44195
57933.89261,44199
57933.89262,44195
57933.89263,44199
57933.89264,44195
57933.89265,44195
57933.89266,44195
57933.89268,44195
57933.89269,44195
57933.8927,44195
57933.89271,44195
57933.89272,44195
57933.89273,44195
57933.89275,44195
57933.89276,44195
57933.89277,44195
57933.89278,44195
57933.89279,44195
57933.8928,44195
57933.89281,44195
57933.89283,44195
57933.89284,44195
57933.89285,44195
57933.89286,44199
57933.89287,44195
57933.89288,44199
57933.8929,44199
57933.89291,44199
57933.89292,44199
57933.89293,44199
57933.89294,44199
57933.89295,44199
57933.89297,44199
57933.89298,44199
57933.89299,44199
57933.893,44199
57933.89301,44195
57933.89302,44195
57933.89303,44195
57933.89305,44199
57933.89306,44195
57933.89307,44195
57933.89308,44195
57933.89309,44195
57933.8931,44199
57933.89312,44195
57933.89313,44195
57933.89314,44195
57933.89315,44195
57933.89316,44195
57933.89317,44195
57933.89319,44195
57933.8932,44195
57933.89321,44195
57933.89322,44195
57933.89323,44191
57933.89324,44195
57933.89325,44195
57933.89327,44195
57933.89328,44195
57933.89329,44195
57933.8933,44195
57933.89331,44195
57933.89332,44195
57933.89334,44199
57933.89335,44199
57933.89336,44199
