Time(s),S21(MAG),S21(DEG)
1408.32,1.0021842,-1.6278889
1416.96,1.0019987,-1.6198325
1425.6,1.0019997,-1.6949286
1434.24,1.0038577,-1.6317866
1442.88,1.0042217,-1.5662251
1451.52,1.0039195,-1.6856343
1460.16,1.0028677,-1.6088669
1468.8,1.0030988,-1.5845397
1477.44,1.0018579,-1.6926379
1486.08,1.0016217,-1.581866
1494.72,1.0041307,-1.2528343
1503.36,1.006829,-1.3308226
1512,1.0044463,-1.35824
1520.64,1.0053174,-1.3189456
1529.28,1.0069989,-1.3901826
1537.92,1.0065268,-1.3069217
1546.56,1.0005572,-1.3739748
1555.2,1.0021799,-1.2855787
1563.84,1.0002445,-1.3396113
1572.48,1.0035059,-1.3187401
1581.12,1.0023296,-1.2078061
1589.76,1.0041705,-1.1148129
1598.4,1.0044514,-0.966178
1607.04,1.0038224,-1.011506
1615.68,1.0075806,-1.0662459
1624.32,1.0060537,-1.0972761
1632.96,1.0056717,-0.88630033
1641.6,1.0077746,-0.93114179
1650.24,1.0048801,-0.95440114
1658.88,1.0060745,-0.86825806
1667.52,1.0040368,-0.98807812
1676.16,1.0032721,-0.95222974
1684.8,1.002165,-1.0010934
1693.44,1.0033005,-0.95162475
1702.08,1.001866,-0.96982926
1710.72,1.0036997,-1.0200943
1719.36,1.0033852,-0.93800634
1728,1.0037009,-1.0471197
1736.64,1.0034664,-0.85482329
1745.28,1.0024024,-0.92418993
1753.92,1.0012277,-0.782579
1762.56,1.003511,-0.90459388
1771.2,1.0019609,-0.8611474
1779.84,1.0020211,-0.83460045
1788.48,1.0055574,-0.70701271
1797.12,1.0073402,-0.81103367
1805.76,1.004671,-0.73167437
1814.4,1.0092155,-0.78282428
1823.04,1.0078411,-0.89354801
1831.68,1.0067323,-0.73203522
1840.32,1.0032665,-0.9093352
1848.96,1.0022418,-0.99082214
1857.6,1.0026486,-1.02352
1866.24,1.0036739,-0.96910918
1874.88,1.001626,-0.81925315
1883.52,1.0018523,-0.96011841
